,No,State,Constituency,Candidate Name,Party,No of Criminal Cases,lat,lon
250,251,West Bengal,Joynagar,Pratima Mondal,AITC,0,23.0391003,89.7073173
251,252,Gujarat,Junagadh,Chudasama Rajeshbhai Naranbhai,BJP,1,21.5174104,70.4642754
252,253,Gujarat,Kachchh,Chavda Vinod Lakhamshi,BJP,0,22.555415850000003,69.94286735770046
253,254,Andhra Pradesh,Kadapa,Yeduguri Sandinti Avinash Reddy,YSRCP,4,14.4752936,78.8216861
254,255,Uttar Pradesh,Kairana,Pradeep Kumar,BJP,5,29.394447,77.2052786
255,256,Uttar Pradesh,Kaiserganj,Brijbhusan Sharan Singh,BJP,4,27.300583349999997,81.55925370186688
256,257,Andhra Pradesh,Kakinada,Vanga Geethaviswanath,YSRCP,0,16.9437385,82.2350607
257,258,Odisha,Kalahandi,Basanta Kumar Panda,BJP,3,19.75,83.0
258,259,Assam,Kaliabor,Gaurav Gogoi,INC,0,26.5387146,92.9292061
259,260,Tamil Nadu,Kallakurichi,Gautham Sigamani Pon,DMK,1,11.79468465,79.03882106200822
260,261,Maharashtra,Kalyan,Dr. Shrikant Eknath Shinde,SHS,1,19.243472099999998,73.13979695285245
261,262,Tamil Nadu,Kancheepuram,Selvam.g,DMK,0,12.87960515,79.70427615297989
262,263,Odisha,Kandhamal,Achyutananda Samanta,BJD,0,20.13069385,84.07904760590154
263,264,Himachal Pradesh,Kangra,Kishan Kapoor,BJP,2,32.166667,76.25
264,265,Chhattisgarh,Kanker,Mohan Mandavi,BJP,0,20.2692747,81.4932111
265,266,Uttar Pradesh,Kannauj,Subrat Pathak,BJP,11,27.0660708,79.85125103088242
266,267,Tamil Nadu,Kanniyakumari,Vasanthakumar. H,INC,0,8.0879641,77.5467414
267,268,Kerala,Kannur,K. Sudhakaran,INC,3,11.8762254,75.3738043
268,269,Uttar Pradesh,Kanpur,Satyadev Pachauri,BJP,0,26.4609135,80.3217588
