,No,State,Constituency,Candidate Name,Party,No of Criminal Cases,lat,lon
468,469,Maharashtra,Shirdi,Sadashiv Kisan Lokhande,SHS,1,19.7668121,74.4754386
469,470,Maharashtra,Shirur,Dr. Amol Ramsing Kolhe,NCP,0,18.8265886,74.3725252
470,471,Uttar Pradesh,Shrawasti,Ram Shiromani,BSP,0,27.5035,82.0365
471,472,Madhya Pradesh,Sidhi,Riti Pathak,BJP,0,24.25,82.0
472,473,Rajasthan,Sikar,Sumedhanand Saraswati,BJP,0,27.583333,75.166667
473,474,Sikkim,Sikkim,Indra Hang Subba,SKM,0,27.601029,88.45413638680145
474,475,Assam,Silchar,Rajdeep Roy,BJP,0,24.829588,92.797148
475,476,Jharkhand,Singhbhum,Geeta Kora,INC,1,22.5,85.5
476,477,Haryana,Sirsa,Sunita Duggal,BJP,0,29.583333,75.083333
477,478,Bihar,Sitamarhi,Sunil Kumar Pintu,JD(U),6,26.5876547,85.5056744
478,479,Uttar Pradesh,Sitapur,Rajesh Verma,BJP,1,27.5,80.916667
479,480,Tamil Nadu,Sivaganga,Karti P Chidambaram,INC,8,9.8486881,78.4870461
480,481,Bihar,Siwan,Kavita Singh,JD(U),4,26.166667,84.5
481,482,Maharashtra,Solapur,Shri. Sha. Bra. Dr. Jai Sidheshwar Shivacharya Mahaswamiji,BJP,0,17.6715272,75.8975502
482,483,Haryana,Sonipat,Ramesh Chander Kaushik,BJP,0,29.0033144,77.0167323
483,484,Delhi,South Delhi,Ramesh Bidhuri,BJP,2,28.485169399999997,77.19637972381611
484,485,Goa,South Goa,Cosme Francisco Caitano Sardinha,INC,0,15.21961365,74.1152813019196
485,486,West Bengal,Srerampur,Kalyan Banerjee,AITC,0,22.7505,88.3406
486,487,Andhra Pradesh,Srikakulam,Rammohannaidu Kinjarapu,TDP,1,18.32002205,83.91607719937166
487,488,Jammu & Kashmir,Srinagar,Farooq Abdullah,JKNC,1,34.0747444,74.8204443
488,489,Tamil Nadu,Sriperumbudur,Baalu.t.r.,DMK,0,12.9666144,79.9458077
489,490,Uttar Pradesh,Sultanpur,Maneka Sanjai Gandhi,BJP,0,26.25,82.0
490,491,Odisha,Sundargarh,Jual Oram,BJP,2,22.25,84.5
491,492,Bihar,Supaul,Dileshwar Kamait,JD(U),2,26.0852704,86.57831756253036
492,493,Gujarat,Surat,Darshana Vikram Jardosh,BJP,0,21.1864607,72.8081281
493,494,Gujarat,Surendranagar,Dr. Munjapara Mahendrabhai,BJP,0,22.75,71.666667
494,495,West Bengal,Tamluk,Dibyendu Adhikari,AITC,1,22.2896984,87.9255933
495,496,Uttarakhand,Tehri Garhwal,Mala Rajya Laxmi Shah,BJP,0,30.5,78.666667
496,497,Tamil Nadu,Tenkasi,Dhanush M Kumar,DMK,1,9.031895800000001,77.36536124793122
497,498,Assam,Tezpur,Pallab Lochan Das,BJP,0,26.6229928,92.7976082
498,499,Maharashtra,Thane,Rajan Baburao Vichare,SHS,9,19.1943294,72.9701779
499,500,Tamil Nadu,Thanjavur,Palanimanickam.s.s,DMK,0,10.7860267,79.1381497
500,501,Tamil Nadu,Theni,"Raveendranath Kumar, P",AIADMK,0,9.969664300000002,77.47420048524822
501,502,Tamil Nadu,Thiruvallur,Dr.k.jayakumar,INC,0,13.13014755,79.92435386254967
502,503,Kerala,Thiruvananthapuram,Dr. Shashi Tharoor,INC,2,8.5241122,76.9360573
503,504,Tamil Nadu,Thoothukkudi,Kanimozhi Karunanidhi,DMK,6,8.756745200000001,78.07975266019861
504,505,Kerala,Thrissur,T. N. Prathapan,INC,7,10.5256264,76.2132542
505,506,Madhya Pradesh,Tikamgarh,Dr Virendra Kumar,BJP,0,24.75,79.0
506,507,Tamil Nadu,Tiruchirappalli,Thirunavukkarasar. Su,INC,0,10.804973,78.6870296
507,508,Tamil Nadu,Tirunelveli,Gnanathiraviam S,DMK,4,8.722388,77.710247
508,509,Andhra Pradesh,Tirupati,Balli Durga Prasad Rao,YSRCP,0,13.6316368,79.4231711
509,510,Tamil Nadu,Tiruppur,"Subbarayan, K.",CPI,0,11.1017815,77.345192
510,511,Tamil Nadu,Tiruvannamalai,Annadurai C N,DMK,0,12.2343228,79.0761989
511,512,Rajasthan,Tonk-sawai Madhopur,Sukhbir Singh Jaunapuria,BJP,0,26.0124,76.356
512,513,Tripura,Tripura East,Rebati Tripura,BJP,0,23.7750823,91.7025091
513,514,Tripura,Tripura West,Pratima Bhoumik,BJP,0,23.916667,91.5
514,515,Karnataka,Tumkur,G. S. Basavaraj,BJP,0,13.3400771,77.1006208
515,516,Meghalaya,Tura,Agatha K. Sangma,NPEP,0,29.9345933,31.2807256
516,517,Rajasthan,Udaipur,Arjunlal Meena,BJP,0,24.578721,73.6862571
517,518,Jammu & Kashmir,Udhampur,Dr. Jitendra Singh,BJP,0,33.0,75.166667
518,519,Karnataka,Udupi Chikmagalur,Shobha Karandlaje,BJP,3,13.3409,74.7421
519,520,Bihar,Ujiarpur,Nityanand Rai,BJP,3,25.7806095,85.8012056
520,521,Madhya Pradesh,Ujjain,Anil Firojiya,BJP,0,23.174597,75.7851423
521,522,West Bengal,Uluberia,Sajda Ahmed,AITC,0,22.4722227,88.0938448
522,523,Uttar Pradesh,Unnao,Swami Sakshi Ji Maharaj,BJP,4,26.5,80.5
523,524,Karnataka,Uttara Kannada,Anantkumar Hegde,BJP,4,14.883333,74.583333
524,525,Kerala,Vadakara,K. Muraleedharan,INC,3,11.5970724,75.5903655
525,526,Gujarat,Vadodara,Ranjanben Bhatt,BJP,0,22.2973142,73.1942567
526,527,Bihar,Vaishali,Veena Devi (w/o Dinesh Prasad Singh),LJNSP,2,25.75,85.416667
527,528,Bihar,Valmiki Nagar,Baidyanath Prasad Mahto,JD(U),4,12.9567265,77.55459
528,529,Gujarat,Valsad,Dr.k.c.patel,BJP,0,20.5,73.083333
529,530,Uttar Pradesh,Varanasi,Narendra Modi,BJP,0,25.3356491,83.0076292
530,531,Tamil Nadu,Vellore,D.m.kathir Anand,DMK,2,12.7948109,79.0006410968549
531,532,Madhya Pradesh,Vidisha,Ramakant Bhargava,BJP,0,23.916667,78.0
532,533,Andhra Pradesh,Vijayawada,Kesineni Srinivas (nani),TDP,0,16.5087586,80.6185102
533,534,Tamil Nadu,Viluppuram,Ravikumar D,DMK,0,11.9137874,79.50789297942772
534,535,Tamil Nadu,Virudhunagar,"Manickam Tagore, B.",INC,0,9.5208936,77.8784563961865
535,536,Andhra Pradesh,Visakhapatnam,M V V Satyanarayana,YSRCP,1,17.7231276,83.3012842
536,537,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,YSRCP,4,18.1120819,83.4052196224888
537,538,Telangana,Warangal,Dayakar Pasunoori,TRS,0,17.9806094,79.5982115
538,539,Maharashtra,Wardha,Ramdas Chandrabhanji Tadas,BJP,0,20.735706399999998,78.55649896377687
539,540,Kerala,Wayanad,Rahul Gandhi,INC,5,11.715219000000001,76.12690294658198
540,541,Delhi,West Delhi,Parvesh Sahib Singh Verma,BJP,0,28.6479519,77.08556541088615
541,542,Maharashtra,Yavatmal-washim,Bhavana Pundlikrao Gawali,SHS,3,20.1119,77.1313
542,543,Telangana,Zahirabad,B.b.patil,TRS,18,17.6758253,77.6106926
